PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
"CRESTPARK MARIANNA, L L C",AR,1970-08,202,51,3.96
ATKINS NURSING AND REHABILITATION CENTER,AR,1970-08,299.75,76,3.94
THE BLOSSOMS AT WOODLAND HILLS REHAB & NURSING CEN,AR,1970-08,271,69,3.93
"COURTYARD REHABILITATION AND HEALTH CENTER, LLC",AR,1970-08,313.25,80,3.92
MAPLE HEALTHCARE,AR,1970-08,121.37,31,3.92
HERITAGE SQUARE HEALTHCARE CENTER,AR,1970-08,258.83,66,3.92
THE SPRINGS OF CAMDEN,AR,1970-08,288.8,74,3.9
"PRAIRIE GROVE HEALTH AND REHABILITATION, LLC",AR,1970-08,230,59,3.9
OUACHITA NURSING AND REHABILITATION CENTER,AR,1970-08,303.85,78,3.9
THE SPRINGS MAGNOLIA,AR,1970-08,295.2,76,3.88
METHODIST HEALTH AND REHAB,AR,1970-08,482.68,125,3.86
THE SPRINGS JONESBORO,AR,1970-08,435.5,113,3.85
KATHERINE'S PLACE AT WEDINGTON,AR,1970-08,388.04,101,3.84
"CRESTPARK STUTTGART, LLC",AR,1970-08,194.88,51,3.82
THE SPRINGS OF PINNACLE MOUNTAIN,AR,1970-08,281.87,74,3.81
"CONCORDIA NURSING & REHAB, LLC",AR,1970-08,110.25,29,3.8
AMBERWOOD HEALTH AND REHABILITATION,AR,1970-08,349.18,92,3.8
THE GREEN HOUSE COTTAGES OF WALNUT RIDGE,AR,1970-08,336.91,89,3.79
SOUTHERN TRACE REHABILITATION AND CARE CENTER,AR,1970-08,323.27,86,3.76
PROMENADE HEALTH AND REHABILITATION,AR,1970-08,330.25,88,3.75
NIGHTINGALE AT ARKADELPHIA,AR,1970-08,274,73,3.75
PERRY COUNTY NURSING AND REHABILITATION CENTER,AR,1970-08,198.75,53,3.75
BAILEY CREEK HEALTH AND REHAB,AR,1970-08,242.02,65,3.72
PLEASANT VALLEY REHABILITATION AND NURSING,AR,1970-08,275,74,3.72
TWIN LAKES THERAPY AND LIVING,AR,1970-08,163.8,44,3.72
RIDGECREST HEALTH AND REHABILITATION,AR,1970-08,430.58,116,3.71
THE BLOSSOMS AT WHITE HALL REHAB & NURSING CENTER,AR,1970-08,307.23,83,3.7
PLEASANT MANOR NURSING & REHAB,AR,1970-08,283.23,77,3.68
QUAPAW CARE AND REHABILITATION CENTER LLC,AR,1970-08,331.75,91,3.65
ENCORE HEALTHCARE AND REHABI OF MALVERN,AR,1970-08,327.68,90,3.64
MANILA HEALTHCARE CENTER,AR,1970-08,188.7,52,3.63
"SALEM PLACE NURSING AND REHABILITATION CENTER, INC",AR,1970-08,332.75,92,3.62
WOODLAND HILLS HEALTHCARE AND REHABILITATION,AR,1970-08,188.14,52,3.62
TWIN RIVERS REHABILITATION AND HEALTHCARE CENTER,AR,1970-08,288.21,80,3.6
THE SPRINGS BROADWAY,AR,1970-08,244.95,68,3.6
THE BLOSSOMS AT NEWPORT REHAB & NURSING CENTER,AR,1970-08,298.25,83,3.59
ROGERS HEALTH AND REHABILITATION CENTER,AR,1970-08,211.25,59,3.58
VAN BUREN HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,360.72,101,3.57
THE SPRINGS BATESVILLE,AR,1970-08,334.5,94,3.56
WHITE RIVER HEALTHCARE,AR,1970-08,145.77,41,3.56
BENTLEY REHABILITATION AND HEALTH CENTER,AR,1970-08,206.5,58,3.56
NASHVILLE NURSING AND REHAB SERVICES OF ARKANSAS,AR,1970-08,170.36,48,3.55
"CRESTPARK FORREST CITY, LLC",AR,1970-08,181.07,51,3.55
ASH FLAT HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,233.25,66,3.53
THE BLOSSOMS AT MIDTOWN REHAB & NURSING CENTER,AR,1970-08,345.25,98,3.52
POCAHONTAS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,199.25,57,3.5
THE SPRINGS OF AVALON,AR,1970-08,223.1,64,3.49
THE BLOSSOMS AT WHITE RIVER REHAB & NURSING CENTER,AR,1970-08,167.5,48,3.49
GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,AR,1970-08,94.06,27,3.48
"MURFREESBORO REHAB AND NURSING, INC",AR,1970-08,118,34,3.47
THE SPRINGS OF EL DORADO,AR,1970-08,301.7,87,3.47
"MITCHELL'S NURSING HOME, INC",AR,1970-08,254.25,74,3.44
PARIS HEALTH AND REHABILITATION CENTER,AR,1970-08,335.07,98,3.42
RECTOR NURSING AND REHAB,AR,1970-08,136.23,40,3.41
THE SPRINGS OF PARK AVE,AR,1970-08,234.6,69,3.4
THE SPRINGS OF MINE CREEK,AR,1970-08,241.5,71,3.4
HUDSON MEMORIAL NURSING HOME,AR,1970-08,213.63,63,3.39
THE BLOSSOMS AT STAMPS REHAB & NURSING CENTER,AR,1970-08,193,57,3.39
"ASHTON PLACE HEALTH AND REHAB, LLC",AR,1970-08,390,115,3.39
"BEEBE RETIREMENT CENTER, INC.",AR,1970-08,274.71,81,3.39
BARNES HEALTHCARE,AR,1970-08,161.89,48,3.37
NIGHTINGALE AT STONEGATE,AR,1970-08,204.98,61,3.36
FAYETTEVILLE HEALTH AND REHABILITATION CENTER,AR,1970-08,338.61,101,3.35
"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",AR,1970-08,207.75,62,3.35
WINDCREST HEALTH AND REHAB INC,AR,1970-08,190.13,57,3.34
NIGHTINGALE AT CROSSETT,AR,1970-08,172.78,52,3.32
ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,AR,1970-08,195.75,59,3.32
LAKEWOOD THERAPY AND LIVING CENTER,AR,1970-08,175.9,53,3.32
THE BLOSSOMS AT NORTH LITTLE ROCK  REHAB & NURSING,AR,1970-08,308.75,93,3.32
THE SPRINGS OF BARROW,AR,1970-08,270.5,82,3.3
INDIAN ROCK VILLAGE HEALTH CENTER,AR,1970-08,151.5,46,3.29
"INNISFREE HEALTH AND REHAB, LLC",AR,1970-08,289.5,88,3.29
VILLAGE SPRINGS HEALTH AND REHAB OF HOT SPRINGS,AR,1970-08,364.05,111,3.28
LAKE VILLAGE REHABILITATION AND CARE CENTER,AR,1970-08,163.75,50,3.28
THE BLOSSOMS AT FORT SMITH REHAB & NURSING CENTER,AR,1970-08,363.25,111,3.27
BEAR CREEK HEALTHCARE LLC,AR,1970-08,172.64,53,3.26
THE BLOSSOMS AT HOT SPRINGS REHAB AND NURSING CENT,AR,1970-08,243.75,76,3.21
HARRIS HEALTH AND REHAB,AR,1970-08,182.69,57,3.21
GOSNELL HEALTH AND REHAB,AR,1970-08,151,47,3.21
"ST JOHNS PLACE OF ARKANSAS, LLC",AR,1970-08,217.53,68,3.2
SOUTHERN PINES HEALTH AND REHAB OF PRESCOTT,AR,1970-08,147.27,46,3.2
THE SPRINGS OF TEXARKANA,AR,1970-08,283.9,89,3.19
BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,AR,1970-08,228,72,3.17
OZARK NURSING AND REHAB,AR,1970-08,243,77,3.16
"PIGGOTT HEALTHCARE & SENIOR LIVING, LLC",AR,1970-08,112.75,36,3.13
CHAMBERS HEALTH AND REHABILITATION,AR,1970-08,165.14,53,3.12
ALCOA PINES HEALTH AND REHABILITATION,AR,1970-08,271.82,88,3.09
DERMOTT CITY NURSING HOME,AR,1970-08,138.69,45,3.08
LEGACY HEALTH AND REHABILITATION CENTER,AR,1970-08,270.23,88,3.07
THE PINES NURSING AND REHABILITATION CENTER,AR,1970-08,236.75,77,3.07
DES ARC NURSING AND REHABILITATION CENTER,AR,1970-08,204,67,3.04
PIONEER THERAPY AND LIVING,AR,1970-08,220.73,73,3.02
VALLEY SPRINGS REHABILITATION AND HEALTH CENTER,AR,1970-08,265.8,88,3.02
THE BLOSSOMS AT MOUNTAIN VIEW REHAB & NURSING CEN,AR,1970-08,207,69,3
TIMBERLANE HEALTH & REHABILITATION,AR,1970-08,272.21,91,2.99
THE BLOSSOMS AT CONWAY REHAB & NURSING CENTER,AR,1970-08,143.75,48,2.99
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,AR,1970-08,200.04,67,2.99
"SHILOH NURSING AND REHAB, LLC",AR,1970-08,306.75,103,2.98
WALDRON NURSING AND REHAB OF WALDRON,AR,1970-08,177.64,60,2.96
ALMA NURSING AND REHAB,AR,1970-08,213,73,2.92
CORNING THERAPY AND LIVING CENTER,AR,1970-08,131.07,45,2.91
THE BLOSSOMS AT BERRYVILLE REHAB &  NURSING CENTER,AR,1970-08,221.5,76,2.91
NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD,AR,1970-08,294.25,102,2.88
THE BLOSSOMS AT WEST DIXON REHAB & NURSING CENTER,AR,1970-08,257.25,90,2.86
THE SPRINGS OF MT VISTA,AR,1970-08,252.8,90,2.81
THE MAPLES AT HAR-BER MEADOWS,AR,1970-08,295.26,105,2.81
THE BLOSSOMS AT CUMBERLAND REHAB & NURSING CENTER,AR,1970-08,191,71,2.69
MOUNTAIN MEADOWS HEALTH AND REHABILITATION,AR,1970-08,238.27,97,2.46
SOUTHFORK RIVER THERAPY AND LIVING,AR,1970-08,158.72,65,2.44
CAVALIER HEALTHCARE OF ENGLAND,AR,1970-08,137,58,2.36
HIRAM SHADDOX HEALTH AND REHAB,AR,1970-08,192.12,82,2.34
ASHLEY REHABILITATION AND HEALTH CARE CENTER,AR,1970-08,41.15,60,0.69
MIRABELLA AT ASU,AZ,1970-08,154.57,16,9.66
CARING HOUSE,AZ,1970-08,800.75,86,9.31
WELLSPRINGS OF GILBERT,AZ,1970-08,105.28,13,8.1
NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER,AZ,1970-08,975.77,138,7.07
PLAZA HEALTHCARE,AZ,1970-08,848.97,130,6.53
FRIENDSHIP VILLAGE OF TEMPE,AZ,1970-08,393.74,61,6.45
ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY,AZ,1970-08,251.75,41,6.14
SIERRA WINDS,AZ,1970-08,153.3,26,5.9
ARIZONA STATE VETERAN HOME-PHX,AZ,1970-08,470.16,81,5.8
ACACIA HEALTH CENTER,AZ,1970-08,395.58,69,5.73
SURPRISE HEALTH AND REHABILITATION CENTER,AZ,1970-08,520.01,92,5.65
THE TERRACES OF PHOENIX,AZ,1970-08,263.05,48,5.48
SKILLED NURSING UNIT AT ORO VALLEY HOSPITAL,AZ,1970-08,130.75,24,5.45
"VI AT GRAYHAWK, A VI AND PLAZA COMPANIES COMMUNITY",AZ,1970-08,162.14,30,5.4
ADVANCED HEALTH CARE OF GLENDALE,AZ,1970-08,269.58,50,5.39
ARIZONA STATE VETERAN HOME-TUCSON,AZ,1970-08,611.73,115,5.32
SANTE OF SURPRISE,AZ,1970-08,349.08,68,5.13
SUNVIEW RESPIRATORY AND REHABILITATION,AZ,1970-08,558.45,109,5.12
SANTE OF NORTH SCOTTSDALE,AZ,1970-08,337.49,68,4.96
SUN HEALTH GRANDVIEW CARE CENTER,AZ,1970-08,292.8,59,4.96
ADVANCE HEALTH CARE OF SCOTTSDALE,AZ,1970-08,185.34,38,4.88
IMMANUEL CAMPUS OF CARE,AZ,1970-08,775.25,159,4.88
"CENTER AT ARROWHEAD, LLC",AZ,1970-08,208.58,43,4.85
SANTE OF CHANDLER,AZ,1970-08,342.39,71,4.82
"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",AZ,1970-08,104.87,22,4.77
RIVER PARK POST ACUTE,AZ,1970-08,127.45,27,4.72
SANTA ROSA CARE CENTER,AZ,1970-08,550.5,117,4.71
LIFE CARE CENTER OF YUMA,AZ,1970-08,403.92,86,4.7
GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY,AZ,1970-08,238.9,51,4.68
DIAMONDBACK HEALTHCARE CENTER,AZ,1970-08,335.12,72,4.65
WINSLOW CAMPUS OF CARE,AZ,1970-08,433.97,94,4.62
DESERT HIGHLANDS CARE CENTER,AZ,1970-08,355.5,77,4.62
SPLENDIDO AT RANCHO VISTOSO,AZ,1970-08,173.75,38,4.57
"THE CENTER AT VAL VISTA, LLC",AZ,1970-08,308.49,68,4.54
PALM VALLEY POST ACUTE,AZ,1970-08,606.52,134,4.53
FOOTHILLS REHABILITATION CENTER,AZ,1970-08,578.8,128,4.52
REHAB AT SCOTTSDALE VILLAGE SQUARE,AZ,1970-08,459.74,102,4.51
RIDGECREST POST ACUTE,AZ,1970-08,597.53,133,4.49
TEMPE POST ACUTE,AZ,1970-08,224.11,50,4.48
CHANDLER POST ACUTE AND REHABILITATION,AZ,1970-08,457.21,102,4.48
LIFE CARE CENTER OF SCOTTSDALE,AZ,1970-08,137,31,4.42
WELBROOK YUMA OPCO LLC,AZ,1970-08,158.49,36,4.4
DESERT PEAK CARE CENTER,AZ,1970-08,574.57,131,4.39
ADVANCED HEALTHCARE OF MESA,AZ,1970-08,143.96,33,4.36
SANTE OF MESA,AZ,1970-08,282.78,65,4.35
ASPIRE TRANSITIONAL CARE,AZ,1970-08,151.25,35,4.32
BOSWELL TRANSITIONAL CARE OF CASCADIA,AZ,1970-08,397.52,93,4.27
SUN HEALTH LA LOMA CARE CENTER,AZ,1970-08,174.2,41,4.25
NORTHPARK HEALTH AND REHABILITATION OF CASCADIA,AZ,1970-08,221.93,53,4.19
DESERT BLOSSOM HEALTH & REHAB CENTER,AZ,1970-08,339.15,81,4.19
CASAS ADOBES POST ACUTE REHAB CENTER,AZ,1970-08,652.89,157,4.16
YUMA NURSING CENTER,AZ,1970-08,290,70,4.14
HANDMAKER HOME FOR THE AGING,AZ,1970-08,341.28,83,4.11
THE LEGACY REHAB & CARE CENTER,AZ,1970-08,241.02,59,4.09
SABINO CANYON REHABILITATION & CARE CENTER,AZ,1970-08,340.86,84,4.06
BROOKDALE SANTA CATALINA,AZ,1970-08,112.75,28,4.03
MOUNTAIN VIEW MANOR,AZ,1970-08,251.75,63,4
LAKE PLEASANT POST ACUTE REHABILITATION CENTER,AZ,1970-08,416.41,104,4
BELLA VITA HEALTH AND REHABILITATION CENTER,AZ,1970-08,638.76,162,3.94
LIFE CARE CENTER OF PARADISE VALLEY,AZ,1970-08,376.89,96,3.93
FREEDOM PLAZA CARE CENTER,AZ,1970-08,242.51,62,3.91
GOOD SAMARITAN SOCIETY-QUIBURI MISSION,AZ,1970-08,182.04,47,3.87
PEORIA POST ACUTE AND REHABILITATION,AZ,1970-08,645.24,167,3.86
CORONADO HEALTHCARE CENTER,AZ,1970-08,666.21,173,3.85
ALLEGIANT HEALTHCARE OF MESA,AZ,1970-08,360.77,94,3.84
MONTECITO POST ACUTE CARE AND REHABILITATION,AZ,1970-08,698.48,182,3.84
HERITAGE COURT POST ACUTE OF SCOTTSDALE,AZ,1970-08,226.28,59,3.84
"HAVEN HEALTH SKY HARBOR, LLC",AZ,1970-08,416.58,110,3.79
THE LINGENFELTER CENTER,AZ,1970-08,321.19,85,3.78
SHEA POST ACUTE REHABILITATION CENTER,AZ,1970-08,348.5,93,3.75
CITADEL POST ACUTE,AZ,1970-08,415.8,111,3.75
RIO VISTA POST ACUTE AND REHABILITATION,AZ,1970-08,478.66,129,3.71
SOUTH MOUNTAIN POST ACUTE,AZ,1970-08,381.18,104,3.67
PAYSON CARE CENTER,AZ,1970-08,150.24,41,3.66
HAVEN OF FLAGSTAFF,AZ,1970-08,274.46,75,3.66
MI CASA NURSING CENTER,AZ,1970-08,421.39,115,3.66
PUEBLO SPRINGS REHABILITATION CENTER,AZ,1970-08,285.26,78,3.66
PROVIDENCE PLACE AT GLENCROFT,AZ,1970-08,452.13,124,3.65
THE REHABILITATION CENTER AT THE PALAZZO,AZ,1970-08,170.97,47,3.64
DEVON GABLES REHABILITATION CENTER,AZ,1970-08,685.53,190,3.61
HAVEN OF DOUGLAS,AZ,1970-08,194.11,54,3.59
ESTRELLA HEALTH AND REHABILITATION CENTER,AZ,1970-08,448.76,125,3.59
THE PEAKS HEALTH & REHABILITATION,AZ,1970-08,146.75,41,3.58
"HAVEN HEALTH PRESCOTT, LLC",AZ,1970-08,173.65,50,3.47
ARCHSTONE CARE CENTER,AZ,1970-08,298.19,86,3.47
HORIZON POST ACUTE AND REHABILITATION CENTER,AZ,1970-08,443.27,128,3.46
APACHE JUNCTION HEALTH CENTER,AZ,1970-08,432.17,125,3.46
OSBORN HEALTH AND REHABILITATION,AZ,1970-08,319.55,93,3.44
SANDRIDGE POST ACUTE,AZ,1970-08,364.4,106,3.44
PARK AVENUE HEALTH AND REHABILITATION CENTER,AZ,1970-08,418.18,122,3.43
THE CENTER AT TUCSON,AZ,1970-08,326.36,96,3.4
SPRINGDALE VILLAGE HEALTHCARE,AZ,1970-08,50.79,15,3.39
MOUNTAIN VIEW CARE CENTER,AZ,1970-08,329.16,97,3.39
DESERT COVE NURSING CENTER,AZ,1970-08,159.27,47,3.39
FOUNTAIN HILLS POST ACUTE,AZ,1970-08,127.97,38,3.37
HERITAGE HEALTH CARE CENTER,AZ,1970-08,232.19,69,3.37
LIFE CARE CENTER OF TUCSON,AZ,1970-08,222.94,67,3.33
HAVEN OF LAKE HAVASU,AZ,1970-08,264.15,80,3.3
PHOENIX MOUNTAIN POST ACUTE,AZ,1970-08,375.85,114,3.3
SILVERWOOD POST ACUTE,AZ,1970-08,270.91,83,3.26
DESERT TERRACE HEALTHCARE CENTER,AZ,1970-08,277.13,85,3.26
THE GARDENS REHAB & CARE CENTER,AZ,1970-08,152.86,47,3.25
"HAVEN OF SIERRA VISTA, LLC",AZ,1970-08,302.97,94,3.22
LA CANADA CARE CENTER,AZ,1970-08,305.9,95,3.22
CATALINA POST ACUTE AND REHABILITATION,AZ,1970-08,302.16,95,3.18
DESERT HAVEN CARE CENTER,AZ,1970-08,260.5,82,3.18
LIFE CARE CENTER OF NORTH GLENDALE,AZ,1970-08,393.65,124,3.17
HAVEN OF SAGUARO VALLEY,AZ,1970-08,309.81,98,3.16
HAVEN OF TUCSON,AZ,1970-08,323.67,103,3.14
SANDSTONE ESTATES REHAB CENTRE,AZ,1970-08,190.53,61,3.12
HAVASU NURSING CENTER,AZ,1970-08,140.5,45,3.12
MARYLAND GARDENS POST ACUTE,AZ,1970-08,161.54,52,3.11
GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE,AZ,1970-08,102.44,33,3.1
LIFE CARE CENTER OF SIERRA VISTA,AZ,1970-08,178.96,58,3.09
ALTA MESA HEALTH AND REHABILITATION,AZ,1970-08,206.75,68,3.04
BEATITUDES CAMPUS,AZ,1970-08,161.17,54,2.98
SANDSTONE OF TUCSON REHAB CENTRE,AZ,1970-08,453.03,152,2.98
SUNCREST HEALTHCARE CENTER,AZ,1970-08,192.15,65,2.96
"HAVEN HEALTH GREEN VALLEY, LLC",AZ,1970-08,286.18,97,2.95
SUN CITY POST ACUTE,AZ,1970-08,308.93,106,2.91
HAVEN OF CAMP VERDE,AZ,1970-08,120.15,42,2.86
HAVEN OF COTTONWOOD,AZ,1970-08,171.49,60,2.86
"HAVEN OF SANDPOINTE, LLC",AZ,1970-08,307.06,108,2.84
VILLA MARIA POST ACUTE AND REHABILITATION,AZ,1970-08,146.53,52,2.82
OASIS PAVILION NURSING & REHABILITATION CENTER,AZ,1970-08,286.5,102,2.81
SUN WEST CHOICE HEALTHCARE & REHAB,AZ,1970-08,383.22,137,2.8
DR GUY GORMAN SR CARE HOME,AZ,1970-08,154,55,2.8
GRANITE CREEK HEALTH & REHABILITATION CENTER,AZ,1970-08,289.16,104,2.78
HAVEN OF PHOENIX,AZ,1970-08,300.22,108,2.78
CAMELBACK POST ACUTE CARE AND REHABILITATION,AZ,1970-08,238.46,87,2.74
HAVEN OF YUMA,AZ,1970-08,299.39,110,2.72
HAVEN OF SCOTTSDALE,AZ,1970-08,153.26,57,2.69
HAVEN OF SHOW LOW,AZ,1970-08,139.59,55,2.54
HAVEN OF SAFFORD,AZ,1970-08,184.26,73,2.52
MISSION PALMS POST ACUTE,AZ,1970-08,365.78,147,2.49
HAVEN OF SEDONA,AZ,1970-08,156.51,63,2.48
HAVEN OF GLOBE,AZ,1970-08,193.11,82,2.36
HAVEN OF LAKESIDE,AZ,1970-08,211.93,97,2.18
RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,AZ,1970-08,150.44,70,2.15
CHILDRENS HC ORG NO CA SARATOGA PEDIATRIC SUBACUTE,CA,1970-08,331.26,27,12.27
COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,CA,1970-08,203.7,18,11.32
DEPT OF STATE HOSPITALS - METROPOLITAN  SNF,CA,1970-08,567,51,11.12
MOUNTAINS COMMUNITY HOSP DPSNF,CA,1970-08,221.47,20,11.07
FOOTHILL REGIONAL MEDICAL CENTER D/P SNF,CA,1970-08,217.61,20,10.88
TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,CA,1970-08,614.56,57,10.78
WEST ANAHEIM MEDICAL CENTER D/P SNF,CA,1970-08,221.1,21,10.53
DEPT OF STATE HOSPITALS - NAPA D/P SNF,CA,1970-08,239,23,10.39
ALL SAINTS HEALTHCARE SUBACUTE,CA,1970-08,1091.85,108,10.11
RADY CHILDREN'S CONVALESCENT HOSPITAL D/P SNF,CA,1970-08,242.38,24,10.1
CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP,CA,1970-08,296,30,9.87
EMANATE HEALTH INTER-COMMUNITY HOSPITAL- D/P SNF,CA,1970-08,115.14,12,9.6
O'CONNOR HOSPITAL D/P SNF,CA,1970-08,210.7,22,9.58
WEST COVINA MEDICAL CENTER D/P SNF,CA,1970-08,206.24,22,9.37
PROVIDENCE HOLY CROSS MED CTR D/P SNF,CA,1970-08,372.51,40,9.31
ST. JOHN'S HOSPITAL CAMARILLO D/P SNF,CA,1970-08,655.12,71,9.23
TORRANCE MEMORIAL MED CTR SNF/DP,CA,1970-08,257.95,28,9.21
HEMET VALLEY HEALTHCARE CENTER,CA,1970-08,181.59,20,9.08
TOTALLY KIDS SPECIALTY HEALTHCARE - SUN VALLEY,CA,1970-08,324.4,37,8.77
WHITTIER HOSPITAL MEDICAL CTR D/P SNF,CA,1970-08,174.25,20,8.71
PROVIDENCE LITTLE COMP OF MARY SUBACUTE CARE CTR,CA,1970-08,887.4,102,8.7
KAWEAH HEALTH SKILLED NURSING CENTER,CA,1970-08,306.05,36,8.5
EAST LOS ANGELES DOCTORS HOSP,CA,1970-08,202.92,24,8.46
SIERRA VIEW MEDICAL CENTER,CA,1970-08,286.25,34,8.42
GREATER EL MONTE COMMUNITY HOS,CA,1970-08,92,11,8.36
WHITE MEMORIAL MEDICAL CTR DP,CA,1970-08,48.5,6,8.08
RIDGEVIEW SKILLED NURSING FACILITY,CA,1970-08,144.55,18,8.03
DESERT REGIONAL MEDICAL CENTER D/P SNF,CA,1970-08,183.75,23,7.99
SAN GABRIEL VALLEY MEDICAL CTR D/P SNF,CA,1970-08,319.25,40,7.98
CHAPMAN GLOBAL MEDICAL CENTER D/P SNF,CA,1970-08,180.5,23,7.85
SOUTH COAST GLOBAL MEDICAL CENTER D/P SNF,CA,1970-08,240.1,31,7.75
WESTLAND HOUSE,CA,1970-08,224.04,29,7.73
ENCINO HOSPITAL MEDICAL CENTER D/P SNF,CA,1970-08,184.56,24,7.69
VILLA CORONADO D/P SNF,CA,1970-08,628.52,83,7.57
MEMORIAL HOSPITAL OF GARDENA D/P SNF,CA,1970-08,484.6,64,7.57
SAN LUIS TRANSITIONAL CARE,CA,1970-08,83.04,11,7.55
ALHAMBRA HOSPITAL MED CTR DP/SNF,CA,1970-08,179.7,24,7.49
GOOD SHEPHERD HEALTH CARE CENTER OF SANTA MONICA,CA,1970-08,344,46,7.48
MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,CA,1970-08,103.12,14,7.37
MARIAN REGIONAL MEDICAL CENTER D/P SNF,CA,1970-08,615.64,85,7.24
REDLANDS COMM HOSP D/P SNF,CA,1970-08,72.36,10,7.24
MISSION CARE CENTER,CA,1970-08,266.96,37,7.22
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER D/P SNF,CA,1970-08,531.85,74,7.19
VETERANS HOME OF CALIFORNIA - REDDING,CA,1970-08,280.5,39,7.19
CORONA REGIONAL MEDICAL CENTER D/P SNF,CA,1970-08,421.49,59,7.14
THE VILLAS AT POWAY,CA,1970-08,678.3,96,7.07
ADVENTIST HEALTH DELANO,CA,1970-08,317.86,45,7.06
SHERMAN OAKS HOSPITAL SNF DP,CA,1970-08,119.84,17,7.05
TRINITY HOSPITAL SKILLED NURSING FACILITY,CA,1970-08,84.2,12,7.02
VACAVILLE RANCH POST ACUTE,CA,1970-08,279.25,40,6.98
KINDRED HOSPITAL BREA D/P SNF,CA,1970-08,216.11,31,6.97
COUNTRY OAKS CARE CENTER,CA,1970-08,471.96,69,6.84
VILLA MARIN,CA,1970-08,88.75,13,6.83
PROVIDENCE LITTLE CO OF MARY TRANSITIONAL CARE CTR,CA,1970-08,347.83,51,6.82
PRESBYTERIAN INTERCOMM HOSP DP/SNF,CA,1970-08,346.59,51,6.8
ASHBY CARE CENTER,CA,1970-08,108.75,16,6.8
TOPANGA TERRACE,CA,1970-08,679.54,100,6.8
COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,CA,1970-08,634.21,94,6.75
GROSSMONT HOSPITAL D/P SNF,CA,1970-08,93.96,14,6.71
CASA DORINDA,CA,1970-08,221.33,33,6.71
VACAVILLE CONVALESCENT & REHAB,CA,1970-08,536.25,81,6.62
ARARAT POST ACUTE,CA,1970-08,137.78,21,6.56
PACIFICA NURSING AND REHABILITATION CENTER,CA,1970-08,345.58,53,6.52
ALTA HEALTHCARE CENTER OF CAMARILLO,CA,1970-08,244.56,38,6.44
BAY AREA HEALTHCARE CENTER,CA,1970-08,404.13,63,6.41
ALL SAINT'S SUBACUTE & TRANSITIONAL CARE,CA,1970-08,409.77,64,6.4
BEAR VALLEY COMMUNITY HOSPITAL,CA,1970-08,115.02,18,6.39
ALAMEDA COUNTY MEDICAL CENTER D/P SNF,CA,1970-08,641.1,103,6.22
VETERANS HOME OF CALIFORNIA - YOUNTVILLE -  SNF,CA,1970-08,1105.89,179,6.18
SHARP CHULA VISTA MED CTR SNF,CA,1970-08,513.04,83,6.18
DRIFTWOOD HEALTHCARE CENTER - HAYWARD,CA,1970-08,448.95,73,6.15
ROSECRANS CARE CENTER,CA,1970-08,578.34,94,6.15
COMMUNITY HOSPITAL OF SAN BERNARDINO DP SNF,CA,1970-08,522.29,85,6.14
SOUTHERN INYO HOSPITAL D/P SNF,CA,1970-08,170.25,28,6.08
EL ENCANTO HEALTHCARE CENTER,CA,1970-08,260.78,43,6.06
CASA BONITA CONVALESCENT HOSPITAL,CA,1970-08,568.58,94,6.05
SOMERSET SUBACUTE AND CARE,CA,1970-08,223.7,37,6.05
GLENBROOK,CA,1970-08,356.31,59,6.04
THE VILLAGE HEALTHCARE CENTER,CA,1970-08,186.99,31,6.03
VENTURA POST ACUTE,CA,1970-08,409.06,68,6.02
DANISH CARE CENTER,CA,1970-08,282.54,47,6.01
COLUSA MEDICAL CENTER - SNF,CA,1970-08,36.02,6,6
VI AT PALO ALTO,CA,1970-08,220.03,37,5.95
BAYSHIRE TORREY PINES POST-ACUTE,CA,1970-08,160.01,27,5.93
PACIFIC HAVEN SUBACUTE AND HEALTHCARE CENTER,CA,1970-08,569.49,97,5.87
SENECA DISTRICT HOSPITAL D/P SNF,CA,1970-08,88,15,5.87
WESTLAKE CONVALESCENT HOSPITAL,CA,1970-08,370.12,63,5.87
VISTA DEL SOL CARE CENTER,CA,1970-08,243.63,42,5.8
ORCHARDS SKILLED NURSING,CA,1970-08,179.8,31,5.8
